"","x"
"1982",197102572.362356
"1983",253534203.348901
"1984",272857897.360887
"1985",259904621.480772
"1986",343352619.947927
"1987",369536197.796454
"1988",518295666.326933
"1989",481070972.822227
"1990",553683521.029908
"1991",507701527.013417
"1992",605380034.094199
"1993",566264369.20872
"1994",644150975.847496
"1995",561729658.254963
"1996",584069468.511464
"1997",736959391.234348
"1998",651367177.954133
"1999",376427050.838702
"2000",378105031.227083
"2001",487143394.738728
"2002",555092744.804416
"2003",514493568.757793
"2004",601127050.515437
"2005",620047010.624021
"2006",635712455.87646
"2007",558777500.997141
"2008",536488607.471752
"2009",437600203.345569
"2010",497534427.746255
"2011",698206018.986989
"2012",394818723.383638
"2013",528782959.677894
"2014",544111589.040915
"2015",400395435.621585
"2016",455489049.884479
"2017",564870593.932471
"2018",504039154.136652
"2019",654193493.421311
